								
N	Word	Freq.	%	Texts	%	Dispersion	Lemmas	Set
1.847	HÁBILES	13	0,01	5	17,86	0,59		
1.848	IDENTIFICAR	13	0,01	n/a	n/a	n/a	IDENTIFICAR[3] IDENTIFICA[3] IDENTIFICADA[1] IDENTIFICADAS[3] IDENTIFICADO[1] IDENTIFICADOS[1] IDENTIFIQUE[1]	
1.849	INCOADO	13	0,01	2	7,14	0,49		
1.850	INCORPORARÁ	13	0,01	4	14,29	0,59		
1.851	INCREMENTO	13	0,01	6	21,43	0,54		
1.852	INICIATIVA	13	0,01	n/a	n/a	n/a	INICIATIVA[7] INICIATIVAS[6]	
1.853	INTRODUCE	13	0,01	4	14,29	0,51		
1.854	JEFE	13	0,01	n/a	n/a	n/a	JEFE[12] JEFES[1]	
1.855	JUAN	13	0,01	10	35,71	0,64		
1.856	JUICIO	13	0,01	4	14,29	0,59		
1.857	LEGISLATIVO	13	0,01	n/a	n/a	n/a	LEGISLATIVO[9] LEGISLATIVA[2] LEGISLATIVAS[1] LEGISLATIVOS[1]	
1.858	MODIFICA	13	0,01	6	21,43	0,38		
1.859	NACIDOS	13	0,01	5	17,86	0,42		
1.860	OBSERVAR	13	0,01	n/a	n/a	n/a	OBSERVAR[4] OBSERVA[2] OBSERVADOS[3] OBSERVARÁN[1] OBSERVE[2] OBSERVEN[1]	
1.861	OFRECER	13	0,01	n/a	n/a	n/a	OFRECER[4] OFRECE[5] OFRECEN[1] OFRECIDAS[1] OFRECIDO[1] OFRECIDOS[1]	
1.862	OPONGAN	13	0,01	12	42,86	0,72		
1.863	PADRES	13	0,01	7	25,00	0,45		
1.864	PATRIA	13	0,01	8	28,57	0,46		
1.865	PERIODICIDAD	13	0,01	6	21,43	0,72		
1.866	PERMITE	13	0,01	8	28,57	0,68		
1.867	PERTENENCIA	13	0,01	n/a	n/a	n/a	PERTENENCIA[7] PERTENENCIAS[6]	
1.868	PLAZAS	13	0,01	4	14,29	0,40		
1.869	POSIBLE	13	0,01	n/a	n/a	n/a	POSIBLE[0] POSIBLES[13]	
1.870	POSIBLES	13	0,01	8	28,57	0,70		
1.871	PRIVADA	13	0,01	6	21,43	0,61		
1.872	PRIVATIVO	13	0,01	n/a	n/a	n/a	PRIVATIVO[0] PRIVATIVA[11] PRIVATIVAS[2]	
1.873	PROFESIÓN	13	0,01	n/a	n/a	n/a	PROFESIÓN[11] PROFESIONES[2]	
1.874	PROVINCIAS	13	0,01	5	17,86	0,63		
1.875	QUEDE	13	0,01	4	14,29	0,64		
1.876	REDACCIÓN	13	0,01	8	28,57	0,52		
1.877	REGLA	13	0,01	n/a	n/a	n/a	REGLA[3] REGLAS[10]	
1.878	RESERVADO	13	0,01	n/a	n/a	n/a	RESERVADO[11] RESERVADOS[2]	
1.879	RESTABLECIMIENTO	13	0,01	3	10,71	0,36		
1.880	RESUELVA	13	0,01	5	17,86	0,64		
1.881	REÚNA	13	0,01	7	25,00	0,68		
1.882	REVISIÓN	13	0,01	8	28,57	0,64		
1.883	SECRETARIO	13	0,01	n/a	n/a	n/a	SECRETARIO[11] SECRETARIA[2]	
1.884	SELECCIONAR	13	0,01	n/a	n/a	n/a	SELECCIONAR[0] SELECCIONADA[1] SELECCIONADAS[1] SELECCIONADOS[9] SELECCIONARÁ[1] SELECCIONARÁN[1]	
1.885	SEÑALADOS	13	0,01	7	25,00	0,59		
1.886	SOLICITARSE	13	0,01	3	10,71	0,51		
1.887	SOMETIDO	13	0,01	8	28,57	0,72		
1.888	SUMA	13	0,01	4	14,29	0,55		
1.889	TEMOR	13	0,01	n/a	n/a	n/a	TEMOR[4] TEMORES[9]	
1.890	TRANSNACIONALES	13	0,01	3	10,71	0,36		
1.891	TRANSPORTISTAS	13	0,01	2	7,14	0,42		
1.892	TUTOR	13	0,01	n/a	n/a	n/a	TUTOR[9] TUTORA[1] TUTORES[3]	
1.893	UNIFORMAR	13	0,01	n/a	n/a	n/a	UNIFORMAR[0] UNIFORME[6] UNIFORMES[7]	
1.894	VII	13	0,01	3	10,71	0,64		
1.895	VISTA	13	0,01	5	17,86	0,63		
1.896	ACOGERSE	12	0,00	7	25,00	0,54		
1.897	ACOMPAÑARSE	12	0,00	4	14,29	0,57		
1.898	ADOPTADA	12	0,00	6	21,43	0,61		
1.899	AEROPORTUARIO	12	0,00	3	10,71	0,40		
1.900	AJENAS	12	0,00	4	14,29	0,53		
1.901	ÁMBITOS	12	0,00	5	17,86	0,67		
1.902	ANTERIORMENTE	12	0,00	8	28,57	0,69		
1.903	BENEFICIARIA	12	0,00	2	7,14	0,16		
1.904	BREVE	12	0,00	5	17,86	0,65		
1.905	CARLOS	12	0,00	10	35,71	0,65		
1.906	CIUDADANA	12	0,00	4	14,29	0,59		
1.907	COMISARIO	12	0,00	n/a	n/a	n/a	COMISARIO[11] COMISARIOS[1]	
1.908	COMPARECER	12	0,00	n/a	n/a	n/a	COMPARECER[5] COMPARECE[3] COMPARECIENDO[1] COMPARECIERA[1] COMPAREZCA[2]	
1.909	COMPETENCIAL	12	0,00	n/a	n/a	n/a	COMPETENCIAL[11] COMPETENCIALES[1]	
1.910	CONCATENAR	12	0,00	n/a	n/a	n/a	CONCATENAR[1] CONCATENADA[7] CONCATENADAS[3] CONCATENADOS[1]	
1.911	CONFLICTO	12	0,00	n/a	n/a	n/a	CONFLICTO[7] CONFLICTOS[5]	
1.912	CONTADOS	12	0,00	6	21,43	0,69		
1.913	CREAR	12	0,00	n/a	n/a	n/a	CREAR[0] CREA[3] CREADA[4] CREADAS[2] CREADOS[1] CREAN[1] CREEN[1]	
1.914	CUALESQUIERA	12	0,00	6	21,43	0,63		
1.915	CUANTOS	12	0,00	6	21,43	0,61		
1.916	CUENTE	12	0,00	3	10,71	0,59		
1.917	DECLARACIONES	12	0,00	6	21,43	0,38		
1.918	DENEGATORIA	12	0,00	3	10,71	0,42		
1.919	DERIVADO	12	0,00	n/a	n/a	n/a	DERIVADO[6] DERIVADOS[6]	
1.920	DESAPARECER	12	0,00	n/a	n/a	n/a	DESAPARECER[0] DESAPARECE[1] DESAPARECIDO[3] DESAPARECIERA[1] DESAPAREZCA[1] DESAPAREZCAN[6]	
1.921	DESCRIPCIÓN	12	0,00	6	21,43	0,59		
1.922	DESTINATARIA	12	0,00	2	7,14	0,08		
1.923	DEVOLVER	12	0,00	n/a	n/a	n/a	DEVOLVER[0] DEVOLVERÁ[2] DEVOLVERÁN[3] DEVUELTAS[1] DEVUELTO[3] DEVUELTOS[2] DEVUELVE[1]	
1.924	DICTADA	12	0,00	4	14,29	0,59		
1.925	DIFICULTAR	12	0,00	n/a	n/a	n/a	DIFICULTAR[1] DIFICULTA[2] DIFICULTASE[1] DIFICULTE[3] DIFICULTEN[5]	
1.926	DISPONDRÁ	12	0,00	6	21,43	0,69		
1.927	DISTINTA	12	0,00	5	17,86	0,65		
1.928	ECONOMÍA	12	0,00	2	7,14	0,40		
1.929	ECONÓMICAS	12	0,00	6	21,43	0,59		
1.930	EFECTÚE	12	0,00	4	14,29	0,54		
1.931	EMERGENCIA	12	0,00	n/a	n/a	n/a	EMERGENCIA[9] EMERGENCIAS[3]	
1.932	ENTORNAR	12	0,00	n/a	n/a	n/a	ENTORNAR[0] ENTORNO[12]	
1.933	ENTORNO	12	0,00	6	21,43	0,63		
1.934	EVENTUAL	12	0,00	n/a	n/a	n/a	EVENTUAL[8] EVENTUALES[4]	
1.935	EXCEPCIONES	12	0,00	6	21,43	0,63		
1.936	FACULTATIVO	12	0,00	n/a	n/a	n/a	FACULTATIVO[11] FACULTATIVA[1]	
1.937	FALLECIMIENTO	12	0,00	3	10,71	0,24		
1.938	FIRMADOS	12	0,00	4	14,29	0,51		
1.939	FIRMANTE	12	0,00	n/a	n/a	n/a	FIRMANTE[8] FIRMANTES[4]	
1.940	FÓRMULA	12	0,00	n/a	n/a	n/a	FÓRMULA[1] FÓRMULAS[11]	
1.941	GARANTIZANDO	12	0,00	6	21,43	0,57		
1.942	GENERAR	12	0,00	n/a	n/a	n/a	GENERAR[1] GENERADO[1] GENERAN[2] GENERANDO[3] GENERARÁ[2] GENERARÍA[1] GENERARON[2]	
1.943	GPS	12	0,00	1	3,57	0,16		
1.944	HARÁN	12	0,00	6	21,43	0,72		
1.945	IMPLICARÁ	12	0,00	3	10,71	0,37		
1.946	INCURRIDO	12	0,00	3	10,71	0,59		
1.947	INDICADO	12	0,00	7	25,00	0,67		
1.948	INDOCUMENTADO	12	0,00	n/a	n/a	n/a	INDOCUMENTADO[2] INDOCUMENTADOS[10]	
1.949	INICIARSE	12	0,00	5	17,86	0,61		
1.950	INTERPRETACIÓN	12	0,00	n/a	n/a	n/a	INTERPRETACIÓN[11] INTERPRETACIONES[1]	
1.951	INVITADO	12	0,00	n/a	n/a	n/a	INVITADO[5] INVITADA[1] INVITADOS[6]	
1.952	IPREM	12	0,00	1	3,57	0,27		
1.953	JEFATURA	12	0,00	n/a	n/a	n/a	JEFATURA[10] JEFATURAS[2]	
1.954	JORNADA	12	0,00	n/a	n/a	n/a	JORNADA[11] JORNADAS[1]	
1.955	LLEGADA	12	0,00	6	21,43	0,67		
1.956	MANDATO	12	0,00	n/a	n/a	n/a	MANDATO[11] MANDATOS[1]	
1.957	MANTENDRÁ	12	0,00	8	28,57	0,65		
1.958	MANTENGA	12	0,00	4	14,29	0,63		
1.959	MARGEN	12	0,00	n/a	n/a	n/a	MARGEN[10] MÁRGENES[2]	
1.960	MÉDICA	12	0,00	5	17,86	0,59		
1.961	MENCIONADO	12	0,00	5	17,86	0,59		
1.962	NACIDO	12	0,00	4	14,29	0,34		
1.963	NECESITAR	12	0,00	n/a	n/a	n/a	NECESITAR[0] NECESITA[1] NECESITAN[4] NECESITANDO[1] NECESITARÁ[1] NECESITARÁN[2] NECESITASEN[1] NECESITEN[1] NECESITO[1]	
1.964	OPTAR	12	0,00	n/a	n/a	n/a	OPTAR[10] OPTA[1] OPTEN[1]	
1.965	PERSEGUIR	12	0,00	n/a	n/a	n/a	PERSEGUIR[0] PERSEGUIDA[6] PERSEGUIDO[2] PERSEGUIDOS[2] PERSIGA[1] PERSIGUE[1]	
1.966	PLANTEAR	12	0,00	n/a	n/a	n/a	PLANTEAR[0] PLANTEA[2] PLANTEADAS[3] PLANTEAN[1] PLANTEARÁ[1] PLANTEEN[5]	
1.967	PROHIBICIONES	12	0,00	2	7,14	0,45		
1.968	PROVISIONALES	12	0,00	4	14,29	0,61		
1.969	QUEDAN	12	0,00	7	25,00	0,63		
1.970	QUEDARÁN	12	0,00	7	25,00	0,63		
1.971	RECHAZAR	12	0,00	n/a	n/a	n/a	RECHAZAR[3] RECHAZADA[2] RECHAZADO[1] RECHAZADOS[2] RECHAZO[4]	
1.972	RECIBIDA	12	0,00	5	17,86	0,59		
1.973	RECOGIDO	12	0,00	5	17,86	0,57		
1.974	REDACTADO	12	0,00	5	17,86	0,45		
1.975	REFORMADA	12	0,00	4	14,29	0,22		
1.976	REFORMAR	12	0,00	n/a	n/a	n/a	REFORMAR[0] REFORMADA[12]	
1.977	REFORZAR	12	0,00	n/a	n/a	n/a	REFORZAR[6] REFORZADA[1] REFORZADAS[2] REFORZANDO[1] REFUERZA[2]	
1.978	RENTA	12	0,00	n/a	n/a	n/a	RENTA[9] RENTAS[3]	
1.979	SEMANA	12	0,00	3	10,71	0,42		
1.980	SIMPLIFICADO	12	0,00	3	10,71	0,40		
1.981	SIMULTÁNEO	12	0,00	n/a	n/a	n/a	SIMULTÁNEO[0] SIMULTÁNEA[11] SIMULTÁNEOS[1]	
1.982	SUPERE	12	0,00	4	14,29	0,59		
1.983	SUSCRITO	12	0,00	4	14,29	0,63		
1.984	TÉCNICOS	12	0,00	5	17,86	0,54		
1.985	TEMPORALMENTE	12	0,00	5	17,86	0,48		
1.986	TRADUCIR	12	0,00	n/a	n/a	n/a	TRADUCIR[0] TRADUCIDA[2] TRADUCIDO[9] TRADUCIRÁ[1]	
1.987	TRANSPORTADO	12	0,00	2	7,14	0,34		
1.988	UNIPROVINCIALES	12	0,00	3	10,71	0,56		
1.989	VENGAR	12	0,00	n/a	n/a	n/a	VENGAR[0] VENGA[2] VENGAN[8] VENGO[2]	
1.990	VIII	12	0,00	2	7,14	0,61		
1.991	7	11	0,00	n/a	n/a	n/a	7[0] SÉPTIMA[9] SÉPTIMO[2]	
1.992	ABOGADOS	11	0,00	3	10,71	0,50		
1.993	ACOMPAÑEN	11	0,00	3	10,71	0,36		
1.994	ACREDITADAS	11	0,00	1	3,57	0,48		
1.995	ACTUALIZAR	11	0,00	n/a	n/a	n/a	ACTUALIZAR[3] ACTUALIZA[2] ACTUALIZADA[4] ACTUALIZADO[1] ACTUALIZADOS[1]	
1.996	AÉREA	11	0,00	2	7,14	0,28		
1.997	ALCANCE	11	0,00	4	14,29	0,64		
1.998	ALCANCEN	11	0,00	2	7,14	0,42		
1.999	AMPLIACIÓN	11	0,00	n/a	n/a	n/a	AMPLIACIÓN[10] AMPLIACIONES[1]	
2.000	ANOTAR	11	0,00	n/a	n/a	n/a	ANOTAR[2] ANOTADA[2] ANOTANDO[1] ANOTARÁ[3] ANOTARÁN[2] ANOTE[1]	
2.001	ANUALMENTE	11	0,00	8	28,57	0,72		
2.002	ASEAR	11	0,00	n/a	n/a	n/a	ASEAR[0] ASEO[11]	
2.003	ASEO	11	0,00	3	10,71	0,50		
2.004	AUSENCIAS	11	0,00	2	7,14	0,45		
2.005	BASADA	11	0,00	n/a	n/a	n/a	BASADA[9] BASADAS[2]	
2.006	BENEFICIAR	11	0,00	n/a	n/a	n/a	BENEFICIAR[1] BENEFICIA[1] BENEFICIAN[1] BENEFICIARAS[1] BENEFICIE[1] BENEFICIEN[2] BENEFICIO[4]	
2.007	BREVEDAD	11	0,00	6	21,43	0,64		
2.008	CAREZCAN	11	0,00	6	21,43	0,57		
2.009	CIRCULAR	11	0,00	6	21,43	0,62		
2.010	CITADAS	11	0,00	9	32,14	0,64		
2.011	COMPUTARÁ	11	0,00	5	17,86	0,53		
2.012	CÓMPUTO	11	0,00	5	17,86	0,64		
2.013	CONCEPTO	11	0,00	5	17,86	0,36		
2.014	CONFIGURAR	11	0,00	n/a	n/a	n/a	CONFIGURAR[2] CONFIGURA[2] CONFIGURADA[2] CONFIGURADO[1] CONFIGURAN[2] CONFIGURANDO[2]	
2.015	CONSECUTIVO	11	0,00	n/a	n/a	n/a	CONSECUTIVO[0] CONSECUTIVOS[11]	
2.016	CONSECUTIVOS	11	0,00	5	17,86	0,57		
2.017	CONSTATAR	11	0,00	n/a	n/a	n/a	CONSTATAR[0] CONSTATADA[2] CONSTATADAS[1] CONSTATE[8]	
2.018	CONSTITUYEN	11	0,00	6	21,43	0,55		
2.019	CONTACTAR	11	0,00	n/a	n/a	n/a	CONTACTAR[1] CONTACTO[10]	
2.020	CONTEMPLA	11	0,00	6	21,43	0,64		
2.021	COOPERAR	11	0,00	n/a	n/a	n/a	COOPERAR[9] COOPERA[1] COOPERARÁ[1]	
2.022	CORRECTA	11	0,00	4	14,29	0,57		
2.023	CUERPOS	11	0,00	3	10,71	0,55		
2.024	CULTURALES	11	0,00	3	10,71	0,43		
2.025	CUMPLIDA	11	0,00	2	7,14	0,48		
2.026	DELEGADOS	11	0,00	3	10,71	0,53		
2.027	DESCENDIENTES	11	0,00	4	14,29	0,55		
2.028	DESEA	11	0,00	6	21,43	0,64		
2.029	DESISTIR	11	0,00	n/a	n/a	n/a	DESISTIR[1] DESISTA[1] DESISTIDO[9]	
2.030	DESPLAZA	11	0,00	1	3,57	0,00		
2.031	DEVENGAR	11	0,00	n/a	n/a	n/a	DEVENGAR[0] DEVENGADAS[3] DEVENGARÁ[1] DEVENGARÁN[1] DEVENGO[6]	
2.032	DIARIO	11	0,00	n/a	n/a	n/a	DIARIO[3] DIARIA[5] DIARIAS[2] DIARIOS[1]	
2.033	DIFÍCIL	11	0,00	n/a	n/a	n/a	DIFÍCIL[10] DIFÍCILES[1]	
2.034	DIVORCIAR	11	0,00	n/a	n/a	n/a	DIVORCIAR[0] DIVORCIO[11]	
2.035	DIVORCIO	11	0,00	4	14,29	0,18		
2.036	DORMITORIOS	11	0,00	2	7,14	0,17		
2.037	EMISIÓN	11	0,00	2	7,14	0,64		
2.038	EMPLEADO	11	0,00	n/a	n/a	n/a	EMPLEADO[2] EMPLEADOS[9]	
2.039	ESENCIALES	11	0,00	9	32,14	0,72		
2.040	ESTABLECERSE	11	0,00	6	21,43	0,62		
2.041	ESTRICTAMENTE	11	0,00	5	17,86	0,62		
2.042	EUROPEAS	11	0,00	3	10,71	0,35		
2.043	EXCLUIR	11	0,00	n/a	n/a	n/a	EXCLUIR[0] EXCLUIDAS[4] EXCLUIDO[2] EXCLUIDOS[3] EXCLUIRÁ[1] EXCLUYE[1]	
2.044	EXCLUSIVAMENTE	11	0,00	7	25,00	0,72		
2.045	EXCLUSIVO	11	0,00	n/a	n/a	n/a	EXCLUSIVO[7] EXCLUSIVOS[4]	
2.046	EXHIBICIÓN	11	0,00	3	10,71	0,53		
2.047	EXIGIRÁ	11	0,00	3	10,71	0,50		
2.048	EXIJA	11	0,00	7	25,00	0,69		
2.049	EXTENDERÁ	11	0,00	7	25,00	0,72		
2.050	EXTRAORDINARIO	11	0,00	n/a	n/a	n/a	EXTRAORDINARIO[3] EXTRAORDINARIA[7] EXTRAORDINARIAS[1]	
2.051	FAMILIAS	11	0,00	8	28,57	0,69		
2.052	FORMAS	11	0,00	7	25,00	0,59		
2.053	FORMULARÁ	11	0,00	5	17,86	0,59		
2.054	FÓRMULAS	11	0,00	4	14,29	0,43		
2.055	HACENDAR	11	0,00	n/a	n/a	n/a	HACENDAR[0] HACIENDA[11]	
2.056	HACIENDA	11	0,00	8	28,57	0,69		
2.057	HALLA	11	0,00	3	10,71	0,53		
2.058	IMPUESTAS	11	0,00	4	14,29	0,50		
2.059	ÍNDICE	11	0,00	n/a	n/a	n/a	ÍNDICE[10] ÍNDICES[1]	
2.060	INDIQUE	11	0,00	5	17,86	0,62		
2.061	INFORMA	11	0,00	1	3,57	0,28		
2.062	INICIE	11	0,00	2	7,14	0,46		
2.063	INVERSIÓN	11	0,00	n/a	n/a	n/a	INVERSIÓN[8] INVERSIONES[3]	
2.064	JURISDICCIÓN	11	0,00	7	25,00	0,50		
2.065	JURISDICCIONAL	11	0,00	n/a	n/a	n/a	JURISDICCIONAL[9] JURISDICCIONALES[2]	
2.066	LENGUAS	11	0,00	5	17,86	0,57		
2.067	LITERAL	11	0,00	2	7,14	0,00		
2.068	LUCRATIVAS	11	0,00	3	10,71	0,50		
2.069	MANIFESTACIÓN	11	0,00	n/a	n/a	n/a	MANIFESTACIÓN[9] MANIFESTACIONES[2]	
2.070	MANIFIESTO	11	0,00	7	25,00	0,57		
2.071	MARÍTIMO	11	0,00	n/a	n/a	n/a	MARÍTIMO[2] MARÍTIMA[8] MARÍTIMOS[1]	
2.072	MOTIVADO	11	0,00	6	21,43	0,59		
2.073	MOTIVARON	11	0,00	4	14,29	0,62		
2.074	NIETO	11	0,00	n/a	n/a	n/a	NIETO[0] NIETOS[11]	
2.075	NIETOS	11	0,00	5	17,86	0,55		
2.076	NÚCLEO	11	0,00	n/a	n/a	n/a	NÚCLEO[7] NÚCLEOS[4]	
2.077	NUEVE	11	0,00	5	17,86	0,59		
2.078	OBRAR	11	0,00	n/a	n/a	n/a	OBRAR[1] OBRADO[1] OBRE[3] OBREN[6]	
2.079	OFERTANTE	11	0,00	n/a	n/a	n/a	OFERTANTE[6] OFERTANTES[5]	
2.080	OPCIÓN	11	0,00	4	14,29	0,17		
2.081	OPORTUNOS	11	0,00	6	21,43	0,69		
2.082	ORIENTACIÓN	11	0,00	n/a	n/a	n/a	ORIENTACIÓN[10] ORIENTACIONES[1]	
2.083	OTORGA	11	0,00	4	14,29	0,45		
2.084	OTORGAMIENTO	11	0,00	n/a	n/a	n/a	OTORGAMIENTO[10] OTORGAMIENTOS[1]	
2.085	PÁGINAS	11	0,00	4	14,29	0,46		
2.086	PARTIDA	11	0,00	n/a	n/a	n/a	PARTIDA[7] PARTIDAS[4]	
2.087	PASARÁN	11	0,00	1	3,57	0,28		
2.088	PERIÓDICO	11	0,00	n/a	n/a	n/a	PERIÓDICO[1] PERIÓDICA[8] PERIÓDICAS[1] PERIÓDICOS[1]	
2.089	PORTABILIDAD	11	0,00	1	3,57	0,28		
2.090	POTENCIAL	11	0,00	n/a	n/a	n/a	POTENCIAL[8] POTENCIALES[3]	
2.091	PRELIMINAR	11	0,00	7	25,00	0,62		
2.092	PREVENTIVO	11	0,00	n/a	n/a	n/a	PREVENTIVO[2] PREVENTIVA[9]	
2.093	PRIVATIVA	11	0,00	3	10,71	0,43		
2.094	PROCEDIMENTALES	11	0,00	3	10,71	0,50		
2.095	PROMOVERÁ	11	0,00	4	14,29	0,50		
2.096	PRONUNCIAMIENTO	11	0,00	1	3,57	0,43		
2.097	RECAÍDO	11	0,00	6	21,43	0,45		
2.098	REDUCIR	11	0,00	n/a	n/a	n/a	REDUCIR[2] REDUCE[2] REDUCIDAS[1] REDUCIDOS[2] REDUCIENDO[2] REDUCIRÁ[1] REDUZCAN[1]	
2.099	REFERENCIAS	11	0,00	6	21,43	0,64		
2.100	REFERIDAS	11	0,00	5	17,86	0,59		
2.101	REGULADA	11	0,00	7	25,00	0,64		
2.102	RELACIONADOS	11	0,00	6	21,43	0,66		
2.103	RESOLVERÁN	11	0,00	6	21,43	0,59		
2.104	RESPUESTA	11	0,00	6	21,43	0,66		
2.105	REÚNEN	11	0,00	5	17,86	0,62		
2.106	SALA	11	0,00	n/a	n/a	n/a	SALA[9] SALAS[2]	
2.107	SEÑALADAS	11	0,00	8	28,57	0,59		
2.108	SIMULTÁNEA	11	0,00	5	17,86	0,64		
2.109	SITIAR	11	0,00	n/a	n/a	n/a	SITIAR[0] SITIO[11]	
2.110	SITIO	11	0,00	2	7,14	0,18		
2.111	SUFRIR	11	0,00	n/a	n/a	n/a	SUFRIR[9] SUFRE[1] SUFRIÓ[1]	
2.112	SUPLETORIO	11	0,00	n/a	n/a	n/a	SUPLETORIO[6] SUPLETORIA[5]	
2.113	SUSCEPTIBLE	11	0,00	n/a	n/a	n/a	SUSCEPTIBLE[0] SUSCEPTIBLES[11]	
2.114	SUSCEPTIBLES	11	0,00	6	21,43	0,66		
2.115	TOMAR	11	0,00	n/a	n/a	n/a	TOMAR[3] TOMADA[1] TOMADAS[1] TOMADO[1] TOMANDO[2] TOMARÁ[2] TOME[1]	
2.116	TORTURA	11	0,00	n/a	n/a	n/a	TORTURA[5] TORTURAS[6]	
2.117	TRANSFORMACIÓN	11	0,00	n/a	n/a	n/a	TRANSFORMACIÓN[10] TRANSFORMACIONES[1]	
2.118	TRANSPARENCIA	11	0,00	5	17,86	0,50		
2.119	TRIBUTARIAS	11	0,00	3	10,71	0,48		
2.120	UBICACIÓN	11	0,00	3	10,71	0,66		
2.121	ULTERIORES	11	0,00	4	14,29	0,66		
2.122	USUARIO	11	0,00	n/a	n/a	n/a	USUARIO[0] USUARIAS[2] USUARIOS[9]	
2.123	VIVIR	11	0,00	n/a	n/a	n/a	VIVIR[0] VIVA[1] VIVAN[8] VIVE[1] VIVÍA[1]	
2.124	VUELTA	11	0,00	3	10,71	0,43		
2.125	YORK	11	0,00	6	21,43	0,59		
2.126	6	10	0,00	n/a	n/a	n/a	6[0] SEXTA[7] SEXTO[3]	
2.127	ACORDADAS	10	0,00	4	14,29	0,49		
2.128	ACORDARSE	10	0,00	4	14,29	0,49		
2.129	ACTIVAR	10	0,00	n/a	n/a	n/a	ACTIVAR[0] ACTIVA[9] ACTIVARÁN[1]	
2.130	ADAPTAR	10	0,00	n/a	n/a	n/a	ADAPTAR[2] ADAPTADA[2] ADAPTADAS[1] ADAPTADOS[2] ADAPTANDO[1] ADAPTARÁ[1] ADAPTE[1]	
2.131	ADOPTADAS	10	0,00	5	17,86	0,66		
2.132	ADSCRIBIR	10	0,00	n/a	n/a	n/a	ADSCRIBIR[0] ADSCRIBA[1] ADSCRITO[6] ADSCRITOS[3]	
2.133	ADVERTENCIA	10	0,00	n/a	n/a	n/a	ADVERTENCIA[8] ADVERTENCIAS[2]	
2.134	AJUSTARÁ	10	0,00	6	21,43	0,69		
2.135	APERTURA	10	0,00	3	10,71	0,55		
2.136	AQUÉLLOS	10	0,00	3	10,71	0,55		
2.137	ASESORAMIENTO	10	0,00	7	25,00	0,66		
2.138	AYUNTAMIENTO	10	0,00	n/a	n/a	n/a	AYUNTAMIENTO[2] AYUNTAMIENTOS[8]	
2.139	CAPACITACIÓN	10	0,00	n/a	n/a	n/a	CAPACITACIÓN[9] CAPACITACIONES[1]	
2.140	COINCIDIRÁ	10	0,00	5	17,86	0,66		
2.141	COMENZARÁ	10	0,00	3	10,71	0,60		
2.142	COMETIDO	10	0,00	3	10,71	0,45		
2.143	COMPATIBLE	10	0,00	n/a	n/a	n/a	COMPATIBLE[6] COMPATIBLES[4]	
2.144	COMPONER	10	0,00	n/a	n/a	n/a	COMPONER[0] COMPONE[3] COMPUESTA[2] COMPUESTO[5]	
2.145	COMPRENDE	10	0,00	3	10,71	0,55		
2.146	COMPRENDERÁ	10	0,00	5	17,86	0,55		
2.147	COMPROMETER	10	0,00	n/a	n/a	n/a	COMPROMETER[1] COMPROMETA[1] COMPROMETE[3] COMPROMETÍAN[1] COMPROMETIDAS[1] COMPROMETIDO[2] COMPROMETO[1]	
2.148	CONCEDE	10	0,00	6	21,43	0,51		
2.149	CONCERTACIÓN	10	0,00	2	7,14	0,10		
2.150	CONCURRE	10	0,00	3	10,71	0,43		
2.151	CONDUCCIÓN	10	0,00	n/a	n/a	n/a	CONDUCCIÓN[5] CONDUCCIONES[5]	
2.152	CONSTITUCIONAL	10	0,00	n/a	n/a	n/a	CONSTITUCIONAL[4] CONSTITUCIONALES[6]	
2.153	CONTACTO	10	0,00	5	17,86	0,66		
2.154	CONTENCIÓN	10	0,00	3	10,71	0,45		
2.155	CONVIVIR	10	0,00	n/a	n/a	n/a	CONVIVIR[0] CONVIVA[4] CONVIVAN[1] CONVIVEN[1] CONVIVIENDO[1] CONVIVIERA[1] CONVIVIESEN[1] CONVIVIRÁN[1]	
2.156	CONVOCAR	10	0,00	n/a	n/a	n/a	CONVOCAR[1] CONVOCADAS[1] CONVOCADO[3] CONVOCADOS[1] CONVOCARÁ[2] CONVOCARÁN[1] CONVOQUE[1]	
2.157	CRÉDITO	10	0,00	n/a	n/a	n/a	CRÉDITO[7] CRÉDITOS[3]	
2.158	CUBIERTOS	10	0,00	3	10,71	0,49		
2.159	DECOMISAR	10	0,00	n/a	n/a	n/a	DECOMISAR[0] DECOMISADOS[4] DECOMISO[6]	
2.160	DEFICIENCIA	10	0,00	n/a	n/a	n/a	DEFICIENCIA[2] DEFICIENCIAS[8]	
2.161	DEMANDANTE	10	0,00	n/a	n/a	n/a	DEMANDANTE[1] DEMANDANTES[9]	
2.162	DEPÓSITO	10	0,00	n/a	n/a	n/a	DEPÓSITO[7] DEPÓSITOS[3]	
2.163	DEROGADA	10	0,00	9	32,14	0,69		
2.164	DESARROLLADO	10	0,00	n/a	n/a	n/a	DESARROLLADO[5] DESARROLLADOS[5]	
2.165	DESEEN	10	0,00	5	17,86	0,58		
2.166	DESPLAZADOS	10	0,00	4	14,29	0,49		
2.167	DETECTAR	10	0,00	n/a	n/a	n/a	DETECTAR[1] DETECTADAS[4] DETECTADOS[1] DETECTAN[1] DETECTARAN[1] DETECTEN[2]	
2.168	DICTARÁ	10	0,00	3	10,71	0,45		
2.169	DIECISÉIS	10	0,00	2	7,14	0,45		
2.170	DILIGENCIAS	10	0,00	7	25,00	0,69		
