								
N	Word	Freq.	%	Texts	%	Dispersion	Lemmas	Set
50	EUROPEO	403	0,16	n/a	n/a	n/a	EUROPEO[118] EUROPEA[272] EUROPEAS[11] EUROPEOS[2]	
51	DISPONER	401	0,16	n/a	n/a	n/a	DISPONER[26] DISPONDRÁ[12] DISPONDRÁN[13] DISPONE[24] DISPONEN[2] DISPONGA[22] DISPONGAN[17] DISPONGO[16] DISPONIENDO[1] DISPUESTO[261] DISPUESTOS[2] DISPUSIERA[2] DISPUSIERAN[3]	
52	CONSOLIDADA	391	0,16	17	60,71	0,83		
53	ACUERDO	382	0,15	21	75,00	0,77		
54	EFECTO	380	0,15	n/a	n/a	n/a	EFECTO[82] EFECTOS[298]	
55	MENOR	379	0,15	n/a	n/a	n/a	MENOR[154] MENORES[225]	
56	OFICINA	374	0,15	n/a	n/a	n/a	OFICINA[308] OFICINAS[66]	
57	DEBERÁ	370	0,15	24	85,71	0,76		
58	CORRESPONDIENTE	357	0,14	n/a	n/a	n/a	CORRESPONDIENTE[275] CORRESPONDIENTES[82]	
59	INTERESADO	357	0,14	n/a	n/a	n/a	INTERESADO[263] INTERESADA[22] INTERESADAS[7] INTERESADOS[65]	
60	ASILAR	352	0,14	n/a	n/a	n/a	ASILAR[0] ASILO[352]	
61	ASILO	352	0,14	11	39,29	0,46		
62	EXTRANJERÍA	350	0,14	16	57,14	0,76		
63	APARTADO	344	0,14	n/a	n/a	n/a	APARTADO[288] APARTADOS[56]	
64	DURACIÓN	344	0,14	13	46,43	0,69		
65	TERRITORIO	342	0,14	n/a	n/a	n/a	TERRITORIO[337] TERRITORIOS[5]	
66	MES	338	0,14	n/a	n/a	n/a	MES[119] MESES[219]	
67	APLICACIÓN	336	0,13	n/a	n/a	n/a	APLICACIÓN[330] APLICACIONES[6]	
68	AÑO	332	0,13	n/a	n/a	n/a	AÑO[76] AÑOS[256]	
69	DECIR	332	0,13	n/a	n/a	n/a	DECIR[0] DICHA[223] DICHAS[47] DICHOS[62]	
70	FAMILIAR	326	0,13	n/a	n/a	n/a	FAMILIAR[203] FAMILIARES[123]	
71	ÓRGANO	326	0,13	n/a	n/a	n/a	ÓRGANO[212] ÓRGANOS[114]	
72	INFORMAR	325	0,13	n/a	n/a	n/a	INFORMAR[11] INFORMA[11] INFORMADA[4] INFORMADAS[4] INFORMADO[14] INFORMADOS[5] INFORMAMOS[1] INFORMANDO[3] INFORMARÁ[24] INFORMARÁN[10] INFORME[186] INFORMES[52]	
